learner,condition,metric,value,error
MISCONCEPTION,policies_on,mean_confidence,0.4,0.0
MISCONCEPTION,policies_on,mean_retention,0.089,0.0
MISCONCEPTION,policies_on,mean_memory_strength,0.816,0.0
MISCONCEPTION,policies_on,advance_rate,0.0,0.0
MISCONCEPTION,policies_on,misconception_rate,1.0,0.0
MISCONCEPTION,policies_on,policy_activation_rate,1.0,0.0
MISCONCEPTION,policies_on,unique_nodes_visited,1.0,0.0
MISCONCEPTION,policies_on,average_activation,6.5,0.0
MISCONCEPTION,policies_off,mean_confidence,0.4,0.0
MISCONCEPTION,policies_off,mean_retention,0.089,0.0
MISCONCEPTION,policies_off,mean_memory_strength,0.816,0.0
MISCONCEPTION,policies_off,advance_rate,0.0,0.0
MISCONCEPTION,policies_off,misconception_rate,1.0,0.0
MISCONCEPTION,policies_off,policy_activation_rate,0.0,0.0
MISCONCEPTION,policies_off,unique_nodes_visited,1.0,0.0
MISCONCEPTION,policies_off,average_activation,6.5,0.0
GUESSER,policies_on,mean_confidence,0.508,0.024
GUESSER,policies_on,mean_retention,0.144,0.029
GUESSER,policies_on,mean_memory_strength,1.819,0.362
GUESSER,policies_on,advance_rate,0.0,0.0
GUESSER,policies_on,misconception_rate,0.55,0.162
GUESSER,policies_on,policy_activation_rate,1.0,0.0
GUESSER,policies_on,unique_nodes_visited,1.0,0.0
GUESSER,policies_on,average_activation,6.5,0.0
GUESSER,policies_off,mean_confidence,0.496,0.027
GUESSER,policies_off,mean_retention,0.123,0.028
GUESSER,policies_off,mean_memory_strength,1.649,0.368
GUESSER,policies_off,advance_rate,0.517,0.149
GUESSER,policies_off,misconception_rate,0.483,0.149
GUESSER,policies_off,policy_activation_rate,0.0,0.0
GUESSER,policies_off,unique_nodes_visited,3.0,0.0
GUESSER,policies_off,average_activation,4.483,0.365
FRAGILE,policies_on,mean_confidence,0.713,0.0
FRAGILE,policies_on,mean_retention,0.28,0.0
FRAGILE,policies_on,mean_memory_strength,3.45,0.0
FRAGILE,policies_on,advance_rate,0.0,0.0
FRAGILE,policies_on,misconception_rate,0.0,0.0
FRAGILE,policies_on,policy_activation_rate,1.0,0.0
FRAGILE,policies_on,unique_nodes_visited,1.0,0.0
FRAGILE,policies_on,average_activation,6.5,0.0
FRAGILE,policies_off,mean_confidence,0.637,0.0
FRAGILE,policies_off,mean_retention,0.226,0.0
FRAGILE,policies_off,mean_memory_strength,2.925,0.0
FRAGILE,policies_off,advance_rate,1.0,0.0
FRAGILE,policies_off,misconception_rate,0.0,0.0
FRAGILE,policies_off,policy_activation_rate,0.0,0.0
FRAGILE,policies_off,unique_nodes_visited,3.0,0.0
FRAGILE,policies_off,average_activation,4.75,0.0
